title,year,author,url
"Exploration of the Valley of the Amazon, Part I",1853,"William Lewis Herndon","https://upload.wikimedia.org/wikipedia/commons/f/f8/Exploration_of_the_valley_of_the_Amazon_%28IA_explorationofval01hern%29.pdf"
"Exploration of the Valley of the Amazon, Part II",1854,"Lardner Gibbon","https://purl.fdlp.gov/GPO/gpo180285"
"The Naturalist on the River Amazons",1863,"Henry Walter Bates","https://archive.org/download/naturalistonrive02bate/naturalistonrive02bate.pdf"
"Travels on the Amazon",1889,"Alfred Russel Wallace","https://archive.org/download/travelsonamazonr00wall/travelsonamazonr00wall.pdf"
"A Voyage up the River Amazon",1847,"William Henry Edwards","https://archive.org/download/voyageupriverama00edwarich/voyageupriverama00edwarich.pdf"
"The Amazon and Madeira Rivers: Sketches and Descriptions",1875,"Franz Keller-Leuzinger","https://archive.org/download/amazonmadeirariv00kelluoft/amazonmadeirariv00kelluoft.pdf"
"Through the Brazilian Wilderness",1914,"Theodore Roosevelt","https://upload.wikimedia.org/wikipedia/commons/a/a5/Through_the_Brazilian_wilderness_%28IA_cu31924086561119%29.pdf"
"L’Amazone",1856,"Émile Carrey","https://archive.org/download/lamazonehuitjou00carrgoog/lamazonehuitjou00carrgoog.pdf"
"A Relation of the Great River of Amazons in South-America",1698,"Cristóbal de Acuña","https://archive.org/download/voyagesdiscoveri00acun/voyagesdiscoveri00acun.pdf"
"Viagem Fluvial do Tietê ao Amazonas",1875,"Hércules Florence","https://www2.senado.leg.br/bdsf/bitstream/handle/id/188906/Viagem%20Fluvial%20do%20Tiet%C3%A9%20ao%20Amazonas%20de%201825%20a%201829.pdf?sequence=1&isAllowed=y"
"Viagem pelo Brasil, Vol. I",1823,"J.B. von Spix & C.F.P. von Martius","https://www2.senado.leg.br/bdsf/bitstream/handle/id/573991/001118266_Viagem_pelo_Brasil_v.1.pdf?isAllowed=y&sequence=14"
"Viagem pelo Brasil, Vol. II",1828,"J.B. von Spix & C.F.P. von Martius","https://www2.senado.leg.br/bdsf/bitstream/handle/id/573991/001118266_Viagem_pelo_Brasil_v.2.pdf?isAllowed=y"
"Viagem pelo Brasil, Vol. III",1831,"J.B. von Spix & C.F.P. von Martius","https://www2.senado.leg.br/bdsf/bitstream/handle/id/573991/001118266_Viagem_pelo_Brasil_v.3.pdf?isAllowed=y"
"Viagem Philosophica",1792,"Alexandre Rodrigues Ferreira","https://purl.pt/33535/res-2510-a_4_master/res-2510-a/res-2510-a_PDF/res-2510-a_0000.pdf"
"River and Jungle",1906,"Edward Sylvester Ellis","https://archive.org/download/riverandjungle00elliiala/riverandjungle00elliiala.pdf"
"The Sea and the Jungle",1912,"H.M. Tomlinson","https://archive.org/download/seajungle00tomlrich/seajungle00tomlrich.pdf"
"Travels in the Interior of Brazil",1846,"George Gardner","https://upload.wikimedia.org/wikipedia/commons/2/26/Gardner_-_Travels_in_the_Interior_of_Brazil%2C_1846.pdf"
"The Golden City: A Tale of Adventure in Unknown Guiana",1920,"A. Hyatt Verrill","https://archive.org/download/goldencitytaleof00verr/goldencitytaleof00verr.pdf"
